nome_run;status;dataset_nome;mAP50_95;mAP50;mAP75;precisao;recall;velocidade_preprocess_ms;velocidade_inference_ms;velocidade_postprocess_ms;mensagem_erro
YOLOv8l_640px_100e_on_unificacaoDosOceanos_19-10-2025_20-48-40;SUCESSO;unificacaoDosOceanos;0.56923;0.75849;0.61836;0.77410;0.69814;0.343;20.600;1.998;
YOLO11m_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.36592;0.67723;0.37190;0.65810;0.63091;1.623;26.455;15.523;
YOLO11l_640px_100e_on_unificacaoDosOceanos_24-09-2025_13-04-16;SUCESSO;unificacaoDosOceanos;0.58392;0.76680;0.62864;0.80280;0.68047;0.294;18.925;2.227;
YOLOv8n_640px_100e_on_aquarium_pretrain_17-10-2025_21-51-38;SUCESSO;aquarium_pretrain;0.41415;0.71100;0.45944;0.78159;0.60298;2.725;17.404;7.134;
YOLO11n_640px_100e_on_FishInvSplit_22-09-2025_22-54-32;SUCESSO;FishInvSplit;0.65752;0.83228;0.73208;0.82697;0.75418;0.452;2.995;1.202;
YOLOv5m_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.67397;0.86481;0.75622;0.86127;0.78074;0.323;12.250;2.696;
YOLOv5s_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.65038;0.84669;0.73030;0.83681;0.76681;0.432;4.355;1.444;
RT-DETR-L_640px_100e_on_FishInvSplit_21-09-2025_20-06-24;SUCESSO;FishInvSplit;0.68743;0.86306;0.75019;0.86425;0.82044;0.381;24.982;0.448;
YOLO11m_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.66470;0.84287;0.73606;0.81660;0.77798;0.596;11.348;1.345;
YOLOv8l_640px_100e_on_aquarium_pretrain_18-10-2025_08-35-35;SUCESSO;aquarium_pretrain;0.32176;0.61686;0.29059;0.71161;0.54203;1.866;24.085;2.836;
YOLO11s_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.55263;0.74735;0.60014;0.75602;0.69064;0.389;5.067;1.040;
YOLO11m_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.55689;0.75268;0.59910;0.81745;0.65497;0.324;13.111;2.827;
RT-DETR-L_640px_100e_on_aquarium_pretrain_21-09-2025_15-37-21;SUCESSO;aquarium_pretrain;0.47139;0.77057;0.53206;0.77314;0.75188;2.551;39.471;0.849;
YOLO11s_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.40828;0.73421;0.39827;0.83171;0.62507;1.859;11.569;9.304;
YOLOv5s_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.53348;0.73456;0.57834;0.76068;0.65114;0.284;5.163;1.228;
YOLOv5m_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.55308;0.75902;0.58986;0.79126;0.66712;0.264;10.258;1.296;
