nome_run;status;dataset_nome;mAP50_95;mAP50;mAP75;precisao;recall;velocidade_preprocess_ms;velocidade_inference_ms;velocidade_postprocess_ms;mensagem_erro
YOLOv8n_640px_100e_on_unificacaoDosOceanos_17-10-2025_21-51-38;SUCESSO;unificacaoDosOceanos;0.57437;0.77218;0.62832;0.79779;0.69660;0.301;2.885;1.134;
YOLOv8s_640px_100e_on_aquarium_pretrain_16-10-2025_21-25-23;SUCESSO;aquarium_pretrain;0.42941;0.74350;0.45034;0.79097;0.62909;3.791;16.383;6.127;
YOLOv8s_640px_100e_on_FishInvSplit_16-10-2025_21-25-23;SUCESSO;FishInvSplit;0.68449;0.86275;0.75431;0.86642;0.77283;0.348;5.001;0.973;
YOLOv5n_640px_100e_on_FishInvSplit_22-09-2025_22-54-32;SUCESSO;FishInvSplit;0.64679;0.83774;0.72117;0.84855;0.74849;0.382;2.983;0.594;
YOLOv5s_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.41996;0.72487;0.39823;0.77120;0.61864;2.413;8.317;10.834;
YOLO11l_640px_100e_on_aquarium_pretrain_28-09-2025_07-03-57;SUCESSO;aquarium_pretrain;0.35021;0.63427;0.31642;0.69057;0.53197;2.360;24.254;1.719;
YOLOv5n_640px_100e_on_unificacaoDosOceanos_23-09-2025_06-36-35;SUCESSO;unificacaoDosOceanos;0.53656;0.73001;0.59474;0.76497;0.65834;0.481;3.267;1.665;
YOLO11n_640px_100e_on_aquarium_pretrain_22-09-2025_22-54-32;SUCESSO;aquarium_pretrain;0.40397;0.70992;0.42178;0.77230;0.61915;1.709;23.175;5.165;
YOLO11s_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.65743;0.83767;0.72511;0.79518;0.78148;0.411;6.415;1.664;
YOLOv8m_640px_100e_on_FishInvSplit_16-10-2025_21-25-23;SUCESSO;FishInvSplit;0.70249;0.86527;0.77380;0.85690;0.79831;0.446;11.933;1.591;
YOLOv5l_640px_100e_on_aquarium_pretrain_28-09-2025_07-03-57;SUCESSO;aquarium_pretrain;0.36873;0.68803;0.38258;0.67599;0.65527;2.260;22.138;3.577;
YOLOv8s_640px_100e_on_unificacaoDosOceanos_16-10-2025_21-25-23;SUCESSO;unificacaoDosOceanos;0.57616;0.77646;0.62944;0.78580;0.71745;0.822;5.003;1.623;
YOLOv8m_640px_100e_on_aquarium_pretrain_16-10-2025_21-25-23;SUCESSO;aquarium_pretrain;0.43265;0.74221;0.45635;0.74773;0.65997;2.329;16.515;8.798;
YOLO11l_640px_100e_on_FishInvSplit_28-09-2025_07-03-57;SUCESSO;FishInvSplit;0.67361;0.83666;0.73221;0.76912;0.79712;0.385;15.883;1.578;
YOLOv5n_640px_100e_on_aquarium_pretrain_22-09-2025_22-54-32;SUCESSO;aquarium_pretrain;0.37483;0.69766;0.39143;0.73625;0.62104;1.917;13.508;8.257;
YOLOv5m_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.41237;0.72403;0.43765;0.77231;0.64327;2.610;22.231;7.409;
YOLOv8l_640px_100e_on_FishInvSplit_18-10-2025_08-35-35;SUCESSO;FishInvSplit;0.69396;0.85949;0.75635;0.84070;0.78690;0.579;20.861;1.969;
YOLOv8n_640px_100e_on_FishInvSplit_17-10-2025_21-51-38;SUCESSO;FishInvSplit;0.67672;0.85124;0.75828;0.85322;0.78209;0.444;2.593;2.089;
YOLOv8m_640px_100e_on_unificacaoDosOceanos_16-10-2025_21-25-23;SUCESSO;unificacaoDosOceanos;0.60538;0.79676;0.66220;0.76504;0.74679;0.454;15.415;2.751;
RT-DETR-L_640px_100e_on_unificacaoDosOceanos_23-09-2025_22-51-52;SUCESSO;unificacaoDosOceanos;0.62926;0.84226;0.68241;0.82425;0.81477;0.493;26.506;0.542;
YOLO11n_640px_100e_on_unificacaoDosOceanos_23-09-2025_06-36-35;SUCESSO;unificacaoDosOceanos;0.54399;0.72549;0.59153;0.69818;0.68360;0.281;3.200;2.002;
YOLOv5l_640px_100e_on_FishInvSplit_28-09-2025_07-03-57;SUCESSO;FishInvSplit;0.66723;0.86654;0.73720;0.82736;0.80471;0.449;17.910;1.129;
YOLOv5l_640px_100e_on_unificacaoDosOceanos_23-09-2025_11-36-00;SUCESSO;unificacaoDosOceanos;0.54773;0.75292;0.59319;0.73540;0.71196;0.400;22.384;3.693;
