nome_run;status;dataset_nome;mAP50_95;mAP50;mAP75;precisao;recall;velocidade_preprocess_ms;velocidade_inference_ms;velocidade_postprocess_ms;mensagem_erro
YOLOv5m_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.48409;0.80947;0.48359;0.75706;0.71532;0.243;17.783;0.842;
YOLOv8l_640px_100e_on_FishInvSplit_18-10-2025_08-35-35;SUCESSO;FishInvSplit;0.51828;0.61552;0.51260;0.45433;0.90000;1.977;18.398;0.441;
YOLOv8n_640px_100e_on_FishInvSplit_17-10-2025_21-51-38;SUCESSO;FishInvSplit;0.55525;0.65837;0.62509;0.43735;0.85901;2.753;9.261;0.794;
YOLOv8m_640px_100e_on_unificacaoDosOceanos_16-10-2025_21-25-23;SUCESSO;unificacaoDosOceanos;0.59970;0.78546;0.62535;0.66910;0.76365;1.888;12.731;0.762;
RT-DETR-L_640px_100e_on_unificacaoDosOceanos_23-09-2025_22-51-52;SUCESSO;unificacaoDosOceanos;0.56198;0.71748;0.60792;0.66021;0.82660;1.309;21.746;0.346;
YOLO11n_640px_100e_on_unificacaoDosOceanos_23-09-2025_06-36-35;SUCESSO;unificacaoDosOceanos;0.47186;0.61828;0.47303;0.50094;0.73211;1.941;5.617;1.082;
YOLOv5l_640px_100e_on_FishInvSplit_28-09-2025_07-03-57;SUCESSO;FishInvSplit;0.58019;0.75342;0.56288;0.44810;0.96667;1.786;15.934;0.473;
YOLOv5l_640px_100e_on_unificacaoDosOceanos_23-09-2025_11-36-00;SUCESSO;unificacaoDosOceanos;0.47178;0.63661;0.49455;0.62861;0.68692;1.737;16.085;1.251;
YOLOv8l_640px_100e_on_unificacaoDosOceanos_19-10-2025_20-48-40;SUCESSO;unificacaoDosOceanos;0.49165;0.67544;0.55519;0.50298;0.80900;1.635;18.590;1.286;
YOLO11m_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.44711;0.73586;0.41814;0.91694;0.60998;0.209;11.187;0.699;
YOLO11l_640px_100e_on_unificacaoDosOceanos_24-09-2025_13-04-16;SUCESSO;unificacaoDosOceanos;0.52790;0.70765;0.52125;0.63677;0.75945;1.670;14.724;1.346;
YOLOv8n_640px_100e_on_aquarium_pretrain_17-10-2025_21-51-38;SUCESSO;aquarium_pretrain;0.55694;0.83562;0.55179;0.64997;0.80952;0.263;6.345;1.575;
YOLO11n_640px_100e_on_FishInvSplit_22-09-2025_22-54-32;SUCESSO;FishInvSplit;0.55351;0.64141;0.58287;0.69267;0.53895;2.299;2.699;1.629;
YOLOv5m_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.45700;0.58962;0.47973;0.50418;0.78295;2.280;10.965;0.491;
YOLOv5s_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.53590;0.64019;0.61319;0.48671;0.66667;2.123;4.336;1.621;
RT-DETR-L_640px_100e_on_FishInvSplit_21-09-2025_20-06-24;SUCESSO;FishInvSplit;0.62565;0.71498;0.66233;0.52724;0.75439;1.926;20.665;0.221;
YOLO11m_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.51089;0.62126;0.53620;0.53693;0.65940;1.759;10.998;1.188;
YOLOv8l_640px_100e_on_aquarium_pretrain_18-10-2025_08-35-35;SUCESSO;aquarium_pretrain;0.38098;0.65901;0.34265;0.58250;0.59898;0.320;20.449;1.222;
YOLO11s_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.47423;0.66642;0.52300;0.56033;0.78986;1.939;4.618;1.677;
YOLO11m_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.54643;0.71655;0.54182;0.53434;0.86919;2.122;12.087;0.891;
RT-DETR-L_640px_100e_on_aquarium_pretrain_21-09-2025_15-37-21;SUCESSO;aquarium_pretrain;0.65871;0.92113;0.74033;0.95065;0.86516;0.298;27.314;0.324;
YOLO11s_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.52893;0.83317;0.54912;0.64187;0.80952;0.238;14.193;1.739;
YOLOv5s_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.53519;0.68769;0.55837;0.66388;0.53341;2.147;4.349;2.973;
YOLOv5m_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.48351;0.67216;0.52059;0.59260;0.72772;1.983;9.533;1.355;
