nome_run;status;dataset_nome;mAP50_95;mAP50;mAP75;precisao;recall;velocidade_preprocess_ms;velocidade_inference_ms;velocidade_postprocess_ms;mensagem_erro
YOLOv8n_640px_100e_on_unificacaoDosOceanos_17-10-2025_21-51-38;SUCESSO;unificacaoDosOceanos;0.52104;0.66475;0.53626;0.58282;0.72285;1.395;6.320;2.272;
YOLOv8s_640px_100e_on_aquarium_pretrain_16-10-2025_21-25-23;SUCESSO;aquarium_pretrain;0.52853;0.88872;0.50696;0.93355;0.82704;0.162;26.397;2.428;
YOLOv8s_640px_100e_on_FishInvSplit_16-10-2025_21-25-23;SUCESSO;FishInvSplit;0.47453;0.59685;0.48274;0.49969;0.92104;1.270;8.345;1.586;
YOLOv5n_640px_100e_on_FishInvSplit_22-09-2025_22-54-32;SUCESSO;FishInvSplit;0.46658;0.60911;0.47780;0.55568;0.63333;2.182;4.256;2.182;
YOLOv5s_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.57655;0.85761;0.58380;0.88098;0.64110;0.200;10.447;1.778;
YOLO11l_640px_100e_on_aquarium_pretrain_28-09-2025_07-03-57;SUCESSO;aquarium_pretrain;0.45464;0.77226;0.41231;0.78951;0.73695;0.272;17.025;0.654;
YOLOv5n_640px_100e_on_unificacaoDosOceanos_23-09-2025_06-36-35;SUCESSO;unificacaoDosOceanos;0.48733;0.66056;0.51114;0.55717;0.73856;2.173;2.415;4.986;
YOLO11n_640px_100e_on_aquarium_pretrain_22-09-2025_22-54-32;SUCESSO;aquarium_pretrain;0.48513;0.80771;0.48279;0.89710;0.71714;0.278;16.851;0.668;
YOLO11s_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.49376;0.62820;0.47472;0.44743;0.93273;2.997;6.770;1.814;
YOLOv8m_640px_100e_on_FishInvSplit_16-10-2025_21-25-23;SUCESSO;FishInvSplit;0.54999;0.65517;0.63287;0.54810;0.78390;1.169;13.420;0.648;
YOLOv5l_640px_100e_on_aquarium_pretrain_28-09-2025_07-03-57;SUCESSO;aquarium_pretrain;0.48495;0.84778;0.45426;0.57110;0.83663;0.228;18.022;0.762;
YOLOv8s_640px_100e_on_unificacaoDosOceanos_16-10-2025_21-25-23;SUCESSO;unificacaoDosOceanos;0.54912;0.69698;0.57994;0.59637;0.73412;2.171;5.774;2.670;
YOLOv8m_640px_100e_on_aquarium_pretrain_16-10-2025_21-25-23;SUCESSO;aquarium_pretrain;0.55764;0.90836;0.58615;0.82257;0.89720;0.221;19.127;0.632;
YOLO11l_640px_100e_on_FishInvSplit_28-09-2025_07-03-57;SUCESSO;FishInvSplit;0.56782;0.66349;0.56890;0.52677;0.70758;1.913;15.680;0.547;
YOLOv5n_640px_100e_on_aquarium_pretrain_22-09-2025_22-54-32;SUCESSO;aquarium_pretrain;0.42501;0.71645;0.48553;0.90442;0.62692;0.207;12.445;0.669;
