nome_run;status;dataset_nome;mAP50_95;mAP50;mAP75;precisao;recall;velocidade_preprocess_ms;velocidade_inference_ms;velocidade_postprocess_ms;mensagem_erro
YOLOv8n_640px_100e_on_unificacaoDosOceanos_17-10-2025_21-51-38;SUCESSO;unificacaoDosOceanos;0.52104;0.66475;0.53626;0.58282;0.72285;1.416;5.138;2.020;
YOLOv8s_640px_100e_on_aquarium_pretrain_16-10-2025_21-25-23;SUCESSO;aquarium_pretrain;0.52853;0.88872;0.50696;0.93355;0.82704;0.172;24.599;1.496;
YOLOv8s_640px_100e_on_FishInvSplit_16-10-2025_21-25-23;SUCESSO;FishInvSplit;0.47453;0.59685;0.48274;0.49969;0.92104;1.890;7.541;1.442;
YOLOv5n_640px_100e_on_FishInvSplit_22-09-2025_22-54-32;SUCESSO;FishInvSplit;0.46658;0.60911;0.47780;0.55568;0.63333;2.500;4.536;2.159;
YOLOv5s_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.57655;0.85761;0.58380;0.88098;0.64110;0.224;13.205;0.852;
YOLO11l_640px_100e_on_aquarium_pretrain_28-09-2025_07-03-57;SUCESSO;aquarium_pretrain;0.45464;0.77226;0.41231;0.78951;0.73695;0.167;14.547;0.635;
YOLOv5n_640px_100e_on_unificacaoDosOceanos_23-09-2025_06-36-35;SUCESSO;unificacaoDosOceanos;0.48733;0.66056;0.51114;0.55717;0.73856;1.673;3.904;2.755;
YOLO11n_640px_100e_on_aquarium_pretrain_22-09-2025_22-54-32;SUCESSO;aquarium_pretrain;0.48513;0.80771;0.48279;0.89710;0.71714;0.321;18.652;0.679;
YOLO11s_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.49376;0.62820;0.47472;0.44743;0.93273;2.023;6.425;1.087;
YOLOv8m_640px_100e_on_FishInvSplit_16-10-2025_21-25-23;SUCESSO;FishInvSplit;0.54999;0.65517;0.63287;0.54810;0.78390;1.996;12.073;0.531;
YOLOv5l_640px_100e_on_aquarium_pretrain_28-09-2025_07-03-57;SUCESSO;aquarium_pretrain;0.48495;0.84778;0.45426;0.57110;0.83663;0.227;18.172;0.708;
YOLOv8s_640px_100e_on_unificacaoDosOceanos_16-10-2025_21-25-23;SUCESSO;unificacaoDosOceanos;0.54912;0.69698;0.57994;0.59637;0.73412;1.857;4.750;2.032;
YOLOv8m_640px_100e_on_aquarium_pretrain_16-10-2025_21-25-23;SUCESSO;aquarium_pretrain;0.55764;0.90836;0.58615;0.82257;0.89720;0.203;25.349;0.725;
YOLO11l_640px_100e_on_FishInvSplit_28-09-2025_07-03-57;SUCESSO;FishInvSplit;0.56782;0.66349;0.56890;0.52677;0.70758;1.917;14.816;0.456;
YOLOv5n_640px_100e_on_aquarium_pretrain_22-09-2025_22-54-32;SUCESSO;aquarium_pretrain;0.42501;0.71645;0.48553;0.90442;0.62692;0.260;15.012;0.852;
YOLOv5m_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.48409;0.80947;0.48359;0.75706;0.71532;0.226;19.273;0.700;
YOLOv8l_640px_100e_on_FishInvSplit_18-10-2025_08-35-35;SUCESSO;FishInvSplit;0.51828;0.61552;0.51260;0.45433;0.90000;2.358;18.791;0.491;
YOLOv8n_640px_100e_on_FishInvSplit_17-10-2025_21-51-38;SUCESSO;FishInvSplit;0.55525;0.65837;0.62509;0.43735;0.85901;1.685;3.932;2.014;
YOLOv8m_640px_100e_on_unificacaoDosOceanos_16-10-2025_21-25-23;SUCESSO;unificacaoDosOceanos;0.59970;0.78546;0.62535;0.66910;0.76365;1.870;11.370;0.544;
RT-DETR-L_640px_100e_on_unificacaoDosOceanos_23-09-2025_22-51-52;SUCESSO;unificacaoDosOceanos;0.56198;0.71748;0.60792;0.66021;0.82660;0.668;22.180;0.304;
YOLO11n_640px_100e_on_unificacaoDosOceanos_23-09-2025_06-36-35;SUCESSO;unificacaoDosOceanos;0.47186;0.61828;0.47303;0.50094;0.73211;2.259;5.911;1.219;
YOLOv5l_640px_100e_on_FishInvSplit_28-09-2025_07-03-57;SUCESSO;FishInvSplit;0.58019;0.75342;0.56288;0.44810;0.96667;1.819;16.385;0.508;
YOLOv5l_640px_100e_on_unificacaoDosOceanos_23-09-2025_11-36-00;SUCESSO;unificacaoDosOceanos;0.47178;0.63661;0.49455;0.62861;0.68692;1.021;16.862;1.250;
YOLOv8l_640px_100e_on_unificacaoDosOceanos_19-10-2025_20-48-40;SUCESSO;unificacaoDosOceanos;0.49165;0.67544;0.55519;0.50298;0.80900;1.932;18.555;0.479;
YOLO11m_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.44711;0.73586;0.41814;0.91694;0.60998;0.478;11.520;1.104;
YOLO11l_640px_100e_on_unificacaoDosOceanos_24-09-2025_13-04-16;SUCESSO;unificacaoDosOceanos;0.52790;0.70765;0.52125;0.63677;0.75945;1.809;14.040;1.876;
YOLOv8n_640px_100e_on_aquarium_pretrain_17-10-2025_21-51-38;SUCESSO;aquarium_pretrain;0.55694;0.83562;0.55179;0.64997;0.80952;0.260;7.266;1.470;
YOLO11n_640px_100e_on_FishInvSplit_22-09-2025_22-54-32;SUCESSO;FishInvSplit;0.55351;0.64141;0.58287;0.69267;0.53895;2.152;3.232;0.824;
YOLOv5m_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.45700;0.58962;0.47973;0.50418;0.78295;1.759;10.716;0.613;
YOLOv5s_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.53590;0.64019;0.61319;0.48671;0.66667;1.970;4.357;1.462;
RT-DETR-L_640px_100e_on_FishInvSplit_21-09-2025_20-06-24;SUCESSO;FishInvSplit;0.62565;0.71498;0.66233;0.52724;0.75439;1.965;20.824;0.230;
YOLO11m_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.51089;0.62126;0.53620;0.53693;0.65940;1.716;11.662;0.715;
YOLOv8l_640px_100e_on_aquarium_pretrain_18-10-2025_08-35-35;SUCESSO;aquarium_pretrain;0.38098;0.65901;0.34265;0.58250;0.59898;0.238;19.781;0.924;
YOLO11s_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.47423;0.66642;0.52300;0.56033;0.78986;2.098;4.821;2.652;
YOLO11m_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.54643;0.71655;0.54182;0.53434;0.86919;1.719;10.835;1.737;
RT-DETR-L_640px_100e_on_aquarium_pretrain_21-09-2025_15-37-21;SUCESSO;aquarium_pretrain;0.65871;0.92113;0.74033;0.95065;0.86516;0.244;30.803;0.313;
