nome_run;status;dataset_nome;mAP50_95;mAP50;mAP75;precisao;recall;velocidade_preprocess_ms;velocidade_inference_ms;velocidade_postprocess_ms;mensagem_erro
YOLOv8n_640px_100e_on_unificacaoDosOceanos_17-10-2025_21-51-38;SUCESSO;unificacaoDosOceanos;0.57437;0.77218;0.62832;0.79779;0.69660;0.281;2.680;1.275;
YOLOv8s_640px_100e_on_aquarium_pretrain_16-10-2025_21-25-23;SUCESSO;aquarium_pretrain;0.42941;0.74350;0.45034;0.79097;0.62909;2.001;15.508;5.979;
YOLOv8s_640px_100e_on_FishInvSplit_16-10-2025_21-25-23;SUCESSO;FishInvSplit;0.68449;0.86275;0.75431;0.86642;0.77283;0.426;4.904;0.650;
YOLOv5n_640px_100e_on_FishInvSplit_22-09-2025_22-54-32;SUCESSO;FishInvSplit;0.64679;0.83774;0.72117;0.84855;0.74849;0.375;2.160;1.262;
YOLOv5s_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.41996;0.72487;0.39823;0.77120;0.61864;2.180;10.043;9.923;
YOLO11l_640px_100e_on_aquarium_pretrain_28-09-2025_07-03-57;SUCESSO;aquarium_pretrain;0.35021;0.63427;0.31642;0.69057;0.53197;1.263;23.479;1.651;
YOLOv5n_640px_100e_on_unificacaoDosOceanos_23-09-2025_06-36-35;SUCESSO;unificacaoDosOceanos;0.53656;0.73001;0.59474;0.76497;0.65834;0.246;2.790;0.787;
YOLO11n_640px_100e_on_aquarium_pretrain_22-09-2025_22-54-32;SUCESSO;aquarium_pretrain;0.40397;0.70992;0.42178;0.77230;0.61915;2.185;13.625;6.750;
YOLO11s_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.65743;0.83767;0.72511;0.79518;0.78148;0.429;5.048;0.428;
YOLOv8m_640px_100e_on_FishInvSplit_16-10-2025_21-25-23;SUCESSO;FishInvSplit;0.70249;0.86527;0.77380;0.85690;0.79831;0.337;10.364;0.688;
YOLOv5l_640px_100e_on_aquarium_pretrain_28-09-2025_07-03-57;SUCESSO;aquarium_pretrain;0.36873;0.68803;0.38258;0.67599;0.65527;2.169;19.892;7.668;
YOLOv8s_640px_100e_on_unificacaoDosOceanos_16-10-2025_21-25-23;SUCESSO;unificacaoDosOceanos;0.57616;0.77646;0.62944;0.78580;0.71745;0.363;4.400;1.219;
YOLOv8m_640px_100e_on_aquarium_pretrain_16-10-2025_21-25-23;SUCESSO;aquarium_pretrain;0.43265;0.74221;0.45635;0.74773;0.65997;2.123;15.456;8.307;
YOLO11l_640px_100e_on_FishInvSplit_28-09-2025_07-03-57;SUCESSO;FishInvSplit;0.67361;0.83666;0.73221;0.76912;0.79712;0.459;13.088;0.453;
