nome_run;status;dataset_nome;mAP50_95;mAP50;mAP75;precisao;recall;velocidade_preprocess_ms;velocidade_inference_ms;velocidade_postprocess_ms;mensagem_erro
YOLOv5n_640px_100e_on_aquarium_pretrain_22-09-2025_22-54-32;SUCESSO;aquarium_pretrain;0.37483;0.69766;0.39143;0.73625;0.62104;2.310;6.310;5.815;
YOLOv5m_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.41237;0.72403;0.43765;0.77231;0.64327;1.254;18.209;4.872;
YOLOv8l_640px_100e_on_FishInvSplit_18-10-2025_08-35-35;SUCESSO;FishInvSplit;0.69396;0.85949;0.75635;0.84070;0.78690;0.370;16.323;0.503;
YOLOv8n_640px_100e_on_FishInvSplit_17-10-2025_21-51-38;SUCESSO;FishInvSplit;0.67672;0.85124;0.75828;0.85322;0.78209;0.425;2.355;1.116;
YOLOv8m_640px_100e_on_unificacaoDosOceanos_16-10-2025_21-25-23;SUCESSO;unificacaoDosOceanos;0.60538;0.79676;0.66220;0.76504;0.74679;0.344;10.739;0.438;
RT-DETR-L_640px_100e_on_unificacaoDosOceanos_23-09-2025_22-51-52;SUCESSO;unificacaoDosOceanos;0.62926;0.84226;0.68241;0.82425;0.81477;0.331;20.747;0.210;
YOLO11n_640px_100e_on_unificacaoDosOceanos_23-09-2025_06-36-35;SUCESSO;unificacaoDosOceanos;0.54399;0.72549;0.59153;0.69818;0.68360;0.192;2.577;1.182;
YOLOv5l_640px_100e_on_FishInvSplit_28-09-2025_07-03-57;SUCESSO;FishInvSplit;0.66723;0.86654;0.73720;0.82736;0.80471;0.354;14.463;0.640;
YOLOv5l_640px_100e_on_unificacaoDosOceanos_23-09-2025_11-36-00;SUCESSO;unificacaoDosOceanos;0.54773;0.75292;0.59319;0.73540;0.71196;0.316;14.600;0.509;
YOLOv8l_640px_100e_on_unificacaoDosOceanos_19-10-2025_20-48-40;SUCESSO;unificacaoDosOceanos;0.56923;0.75849;0.61836;0.77410;0.69814;0.321;16.358;0.565;
YOLO11m_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.36592;0.67723;0.37190;0.65810;0.63091;2.138;13.814;3.848;
YOLO11l_640px_100e_on_unificacaoDosOceanos_24-09-2025_13-04-16;SUCESSO;unificacaoDosOceanos;0.58392;0.76680;0.62864;0.80280;0.68047;0.335;13.126;0.459;
YOLOv8n_640px_100e_on_aquarium_pretrain_17-10-2025_21-51-38;SUCESSO;aquarium_pretrain;0.41415;0.71100;0.45944;0.78159;0.60298;2.320;6.318;9.644;
YOLO11n_640px_100e_on_FishInvSplit_22-09-2025_22-54-32;SUCESSO;FishInvSplit;0.65752;0.83228;0.73208;0.82697;0.75418;0.272;2.911;0.763;
YOLOv5m_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.67397;0.86481;0.75622;0.86127;0.78074;0.390;8.787;0.815;
YOLOv5s_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.65038;0.84669;0.73030;0.83681;0.76681;0.385;4.721;0.495;
RT-DETR-L_640px_100e_on_FishInvSplit_21-09-2025_20-06-24;SUCESSO;FishInvSplit;0.68743;0.86306;0.75019;0.86425;0.82044;0.341;20.483;0.218;
YOLO11m_640px_100e_on_FishInvSplit_02-10-2025_10-59-02;SUCESSO;FishInvSplit;0.66470;0.84287;0.73606;0.81660;0.77798;0.312;10.200;0.711;
YOLOv8l_640px_100e_on_aquarium_pretrain_18-10-2025_08-35-35;SUCESSO;aquarium_pretrain;0.32176;0.61686;0.29059;0.71161;0.54203;2.191;19.372;8.003;
YOLO11s_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.55263;0.74735;0.60014;0.75602;0.69064;0.341;4.674;0.897;
YOLO11m_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.55689;0.75268;0.59910;0.81745;0.65497;0.242;10.192;0.641;
RT-DETR-L_640px_100e_on_aquarium_pretrain_21-09-2025_15-37-21;SUCESSO;aquarium_pretrain;0.47139;0.77057;0.53206;0.77314;0.75188;1.626;29.014;0.248;
YOLO11s_640px_100e_on_aquarium_pretrain_02-10-2025_10-59-02;SUCESSO;aquarium_pretrain;0.40828;0.73421;0.39827;0.83171;0.62507;1.342;9.637;5.148;
YOLOv5s_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.53348;0.73456;0.57834;0.76068;0.65114;0.451;4.366;0.882;
YOLOv5m_640px_100e_on_unificacaoDosOceanos_02-10-2025_10-59-02;SUCESSO;unificacaoDosOceanos;0.55308;0.75902;0.58986;0.79126;0.66712;0.354;8.771;0.932;
