Job_Name,Dataset,Base_Model,Status,mAP50_95,mAP50,Precision,Recall,F1_Score,Latency_ms,Training_Time_Min,Output_Dir,Error
YOLOv5l_640px_100e,aquarium_pretrain,yolov5l.pt,Completed,0.3469,0.6382,0.7014,0.5938,0.6432,0.0000,32.0299,/home/patrik/Documentos/TCC-Análise Comparativa de Modelos YOLO para Detecção de Vida Marinha em Ambientes Subaquáticos/runs/detect/YOLOv5l_640px_100e_on_aquarium_pretrain_28-09-2025_07-03-57,N/A
YOLO11l_640px_100e,aquarium_pretrain,yolo11l.pt,Completed,0.3506,0.6226,0.6970,0.5705,0.6275,0.0000,28.9955,/home/patrik/Documentos/TCC-Análise Comparativa de Modelos YOLO para Detecção de Vida Marinha em Ambientes Subaquáticos/runs/detect/YOLO11l_640px_100e_on_aquarium_pretrain_28-09-2025_07-03-57,N/A
YOLOv5l_640px_100e,FishInvSplit,yolov5l.pt,Completed,0.5297,0.7397,0.7417,0.6907,0.7153,0.0000,669.0576,/home/patrik/Documentos/TCC-Análise Comparativa de Modelos YOLO para Detecção de Vida Marinha em Ambientes Subaquáticos/runs/detect/YOLOv5l_640px_100e_on_FishInvSplit_28-09-2025_07-03-57,N/A
YOLO11l_640px_100e,FishInvSplit,yolo11l.pt,Completed,0.5349,0.7241,0.7512,0.6569,0.7009,0.0000,603.6285,/home/patrik/Documentos/TCC-Análise Comparativa de Modelos YOLO para Detecção de Vida Marinha em Ambientes Subaquáticos/runs/detect/YOLO11l_640px_100e_on_FishInvSplit_28-09-2025_07-03-57,N/A
